Name,Statement,Branch,Complexity,Mutation
AbandonedTrace,1.00 ,1.00 ,17.00 ,0.67 
BasicDataSource,0.67 ,0.61 ,233.00 ,0.65 
BasicDataSourceFactory,0.86 ,0.79 ,78.00 ,0.79 
DataSourceConnectionFactory,0.85 ,1.00 ,9.00 ,0.43 
DelegatingConnection,0.56 ,0.72 ,113.00 ,0.31 
DelegatingDatabaseMetaData,0.46 ,0.50 ,190.00 ,0.11 
DelegatingPreparedStatement,0.68 ,0.50 ,65.00 ,0.34 
DelegatingResultSet,0.55 ,0.60 ,218.00 ,0.34 
DelegatingStatement,0.65 ,0.69 ,84.00 ,0.30 
DriverManagerConnectionFactory,0.91 ,1.00 ,12.00 ,0.44 
Jdbc41Bridge,0.07 ,0.00 ,58.00 ,0.05 
ObjectNameWrapper,0.66 ,0.75 ,16.00 ,1.00 
PoolableCallableStatement,0.79 ,0.58 ,10.00 ,0.20 
PoolableConnection,0.72 ,0.78 ,36.00 ,0.72 
PoolableConnectionFactory,0.85 ,0.81 ,83.00 ,0.76 
PoolablePreparedStatement,0.82 ,0.64 ,13.00 ,0.16 
PoolingConnection,0.64 ,0.60 ,40.00 ,0.87 
PoolingDriver,0.65 ,0.75 ,22.00 ,0.56 
PStmtKey,0.66 ,0.72 ,92.00 ,0.62 
SwallowedExceptionLogger,1.00 ,0.75 ,5.00 ,1.00 
Utils,0.92 ,0.70 ,20.00 ,0.79 
CPDSConnectionFactory,0.51 ,0.46 ,35.00 ,0.29 
InstanceKeyDataSource,0.53 ,0.74 ,96.00 ,0.54 
InstanceKeyDataSourceFactory,0.47 ,0.32 ,75.00 ,0.10 
KeyedCPDSConnectionFactory,0.66 ,0.57 ,28.00 ,0.39 
PerUserPoolDataSource,0.92 ,0.92 ,159.00 ,0.70 
PerUserPoolDataSourceFactory,0.40 ,0.25 ,22.00 ,0.03 
PoolKey,1.00 ,1.00 ,15.00 ,0.80 
SharedPoolDataSource,0.79 ,0.77 ,22.00 ,0.53 
SharedPoolDataSourceFactory,0.71 ,0.25 ,6.00 ,0.40 
UserPassKey,1.00 ,1.00 ,16.00 ,0.95 
PooledConnectionImpl,0.69 ,0.80 ,63.00 ,0.34 
DriverAdapterCPDS,0.77 ,0.60 ,79.00 ,0.34 
ConnectionImpl,0.69 ,0.50 ,17.00 ,0.76 
DataSourceXAConnectionFactory,0.59 ,0.50 ,15.00 ,0.43 
TransactionContext,0.78 ,0.75 ,19.00 ,0.75 
ManagedConnection,0.86 ,0.89 ,37.00 ,0.81 
BasicManagedDataSource,0.85 ,1.00 ,17.00 ,0.72 
PoolableManagedConnectionFactory,0.75 ,0.66 ,6.00 ,0.35 
LocalXAConnectionFactory.LocalXAResource,0.93 ,1.00 ,26.00 ,0.84 
TransactionRegistry,0.93 ,0.87 ,11.00 ,1.00 
ManagedDataSource,0.84 ,0.83 ,7.00 ,0.80 
TransactionContext.new Synchronization() {...},1.00 ,1.00 ,4.00 ,0.75 
ManagedConnection.CompletionListener,1.00 ,1.00 ,3.00 ,0.81 
